what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1372815340271
java.vendor,sysinfo,,,"Oracle Corporation",1372815340271
java.version,sysinfo,,,"1.7.0_07",1372815340271
java.vm.info,sysinfo,,,"mixed mode",1372815340271
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1372815340271
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372815340271
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372815340271
java.vm.specification.version,sysinfo,,,"1.7",1372815340271
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372815340271
java.vm.version,sysinfo,,,"23.3-b01",1372815340271
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1372815340285
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1372815341795
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1372815342705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815360600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815366078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815427800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815429041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815431091
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1372815452145
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1372815452175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815458567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815460467
error,log,,,"Internal Error",1372815463744
error,log,,,"Internal Error",1372815464396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815464996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815466479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815472588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815474528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815479553
error,log,,,"Internal Error",1372815480373
error,log,,,"Internal Error",1372815481243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815482543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815487958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815489919
error,log,,,"Internal Error",1372815493474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815496824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815498996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815505395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815508887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815514679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372815515051
